subj,chan,task,X,Y,Z,dof,responseTr,Loc_Tval,Loc_Pval,RT,varRT,JPAnatomy,Tval,Pval
S05,PORB2,OTH,-16.4843139648438,29.7581176757812,-24.1985893249512,24,18,0.408551395747302,0.345330933813237,4.19618671645821,4.55874150561466,OFC,1.17401211110169,0.142671465706859
S05,PORB2,SE,-16.4843139648438,29.7581176757812,-24.1985893249512,25,13,1.74711163128758,0.0429914017196561,4.46459518599964,5.17199500954756,OFC,1.60444738507406,0.116976604679064
S05,PORB2,SJ,-16.4843139648438,29.7581176757812,-24.1985893249512,25,17,1.29974453852072,0.102579484103179,3.96736913424029,2.4649761064495,OFC,1.05851000007577,0.149470105978804
S05,PORB3,EP,-20.9330806732178,28.1895408630371,-18.6310920715332,25,7,5.80554458900726,0.0001999600079984,4.79556356996007,4.34833262901654,OFC,2.11075424280976,0.0246950609878024
S05,PORB3,MTH,-20.9330806732178,28.1895408630371,-18.6310920715332,39,24,NaN,NaN,6.37452354141062,11.7333453373945,OFC,-1.55448027756341,0.192161567686463
S05,PORB3,OTH,-20.9330806732178,28.1895408630371,-18.6310920715332,24,18,1.34579622116415,0.0999800039992002,4.19618671645821,4.55874150561466,OFC,-0.135370260020303,0.224155168966207
S05,PORB3,SE,-20.9330806732178,28.1895408630371,-18.6310920715332,25,13,4.58499336161426,0.0001999600079984,4.46459518599964,5.17199500954756,OFC,2.57313860722458,0.010497900419916
S05,PORB3,SJ,-20.9330806732178,28.1895408630371,-18.6310920715332,25,17,2.34874192776635,0.0141971605678864,3.96736913424029,2.4649761064495,OFC,1.58128046973099,0.0880823835232953
S05,PORB4,EP,-35.5105628967285,27.6236934661865,-19.8468437194824,25,7,1.79204456220266,0.0417916416716657,4.79556356996007,4.34833262901654,OFC,2.21694480016655,0.105778844231154
S05,PORB4,MTH,-35.5105628967285,27.6236934661865,-19.8468437194824,39,24,NaN,NaN,6.37452354141062,11.7333453373945,OFC,-1.14517976518621,0.135072985402919
S05,PORB4,OTH,-35.5105628967285,27.6236934661865,-19.8468437194824,24,18,5.30057586884412,0.0001999600079984,4.19618671645821,4.55874150561466,OFC,4.02473986831871,0.000599880023995201
S05,PORB4,SE,-35.5105628967285,27.6236934661865,-19.8468437194824,25,13,3.07519898695835,0.0013997200559888,4.46459518599964,5.17199500954756,OFC,1.33393027672734,0.110377924415117
S05,PORB4,SJ,-35.5105628967285,27.6236934661865,-19.8468437194824,25,17,4.93226753673206,0.0001999600079984,3.96736913424029,2.4649761064495,OFC,3.84196329332885,0.0001999600079984
S05,PORB5,EP,-47.1323928833008,32.574951171875,-14.2913541793823,25,7,2.3219435849432,0.0115976804639072,4.79556356996007,4.34833262901654,OFC,2.24225287859263,0.0351929614077185
S05,PORB5,MTH,-47.1323928833008,32.574951171875,-14.2913541793823,39,24,NaN,NaN,6.37452354141062,11.7333453373945,OFC,0.956196160167374,0.0917816436712657
S05,PORB5,OTH,-47.1323928833008,32.574951171875,-14.2913541793823,24,18,-1.01486864894255,0.167366526694661,4.19618671645821,4.55874150561466,OFC,1.86402491819538,0.110577884423115
S05,PORB5,SE,-47.1323928833008,32.574951171875,-14.2913541793823,25,13,1.19773751209469,0.133573285342931,4.46459518599964,5.17199500954756,OFC,2.29816514657209,0.0257948410317936
S05,PORB5,SJ,-47.1323928833008,32.574951171875,-14.2913541793823,25,17,-0.813554292798726,0.2375524895021,3.96736913424029,2.4649761064495,OFC,1.10421688710083,0.141771645670866
S15,RAIH1,EP,3.57733464241028,48.3622817993164,-17.1966972351074,25,7,1.65798022129491,0.0547890421915617,3.32126130451999,1.03754474518316,MPFC,1.87596306786223,0.0369259481437046
S15,RAIH1,MTH,3.57733464241028,48.3622817993164,-17.1966972351074,40,20,NaN,NaN,5.2898640454,3.03317107021302,MPFC,-0.138447986532151,0.366993268013064
S15,RAIH1,OTH,3.57733464241028,48.3622817993164,-17.1966972351074,25,16,7.59201105771517,0.0001999600079984,3.74001918908003,2.42959191899469,MPFC,2.66286903810147,0.0431913617276545
S15,RAIH1,SE,3.57733464241028,48.3622817993164,-17.1966972351074,25,9,2.08513045922256,0.020995800839832,3.16715108716,1.30288244145397,MPFC,1.01068659389408,0.191628340998467
S15,RAIH1,SJ,3.57733464241028,48.3622817993164,-17.1966972351074,25,15,4.00849792534491,0.000399920015996801,3.49929850055998,5.20203529528858,MPFC,1.54980972527946,0.060254615743518
S15,RAIH2,EP,5.43575239181519,52.4418449401855,-14.6086292266846,25,7,0.766524154307945,0.23375324935013,3.32126130451999,1.03754474518316,MPFC,1.54258649005775,0.103979204159168
S15,RAIH2,MTH,5.43575239181519,52.4418449401855,-14.6086292266846,40,20,NaN,NaN,5.2898640454,3.03317107021302,MPFC,0.186941945526246,0.302006265413584
S15,RAIH2,OTH,5.43575239181519,52.4418449401855,-14.6086292266846,25,16,4.13302531882959,0.0001999600079984,3.74001918908003,2.42959191899469,MPFC,1.7828492352894,0.0197293874558422
S15,RAIH2,SE,5.43575239181519,52.4418449401855,-14.6086292266846,25,9,0.934961615206576,0.186762647470506,3.16715108716,1.30288244145397,MPFC,0.862851296509921,0.192894754382457
S15,RAIH2,SJ,5.43575239181519,52.4418449401855,-14.6086292266846,25,15,4.85122152366279,0.0001999600079984,3.49929850055998,5.20203529528858,MPFC,2.77263189209771,0.0368592948077051
S15,RAIH3,EP,10.0326442718506,51.3977966308594,-7.83959007263184,25,7,-0.633615390058252,0.276144771045791,3.32126130451999,1.03754474518316,MPFC,-0.626314074632215,0.288608944877691
S15,RAIH3,MTH,10.0326442718506,51.3977966308594,-7.83959007263184,40,20,NaN,NaN,5.2898640454,3.03317107021302,MPFC,0.526763162053363,0.305605545557555
S15,RAIH3,OTH,10.0326442718506,51.3977966308594,-7.83959007263184,25,16,3.11258535063571,0.0017996400719856,3.74001918908003,2.42959191899469,MPFC,1.83403063192769,0.123508631607012
S15,RAIH3,SE,10.0326442718506,51.3977966308594,-7.83959007263184,25,9,0.103651307926656,0.455708858228354,3.16715108716,1.30288244145397,MPFC,0.578938264117883,0.242751449710058
S15,RAIH3,SJ,10.0326442718506,51.3977966308594,-7.83959007263184,25,15,-0.432908264490676,0.347930413917217,3.49929850055998,5.20203529528858,MPFC,0.17262713692923,0.282276877957742
S15,RAIH4,EP,9.10298347473145,53.6539688110352,-5.06336688995361,25,7,-0.302452208879458,0.403119376124775,3.32126130451999,1.03754474518316,MPFC,-0.233146408051116,0.267413184029861
S15,RAIH4,MTH,9.10298347473145,53.6539688110352,-5.06336688995361,40,20,NaN,NaN,5.2898640454,3.03317107021302,MPFC,0.700132121725515,0.249216823302006
S15,RAIH4,OTH,9.10298347473145,53.6539688110352,-5.06336688995361,25,16,2.06163839793121,0.0241951609678064,3.74001918908003,2.42959191899469,MPFC,1.27845701834452,0.188895554222489
S15,RAIH4,SE,9.10298347473145,53.6539688110352,-5.06336688995361,25,9,-1.85595045710999,0.0249950009998,3.16715108716,1.30288244145397,MPFC,-0.199455880858049,0.312004265813504
S15,RAIH4,SJ,9.10298347473145,53.6539688110352,-5.06336688995361,25,15,-1.53457676105555,0.0605878824235153,3.49929850055998,5.20203529528858,MPFC,-0.878052582350179,0.220622542158235
S15,RFG10,EP,31.1794013977051,42.9950332641602,-14.9772920608521,25,7,3.81344213612701,0.000799840031993601,3.32126130451999,1.03754474518316,OFC,1.64968892753949,0.169699393454642
S15,RFG10,MTH,31.1794013977051,42.9950332641602,-14.9772920608521,40,20,NaN,NaN,5.2898640454,3.03317107021302,OFC,0.319719263291741,0.120242618143038
S15,RFG10,OTH,31.1794013977051,42.9950332641602,-14.9772920608521,25,16,1.58497446698271,0.0541891621675665,3.74001918908003,2.42959191899469,OFC,0.17654210434301,0.325801506365394
S15,RFG10,SE,31.1794013977051,42.9950332641602,-14.9772920608521,25,9,3.86408296276266,0.000599880023995201,3.16715108716,1.30288244145397,OFC,1.35978426898761,0.0951809638072385
S15,RFG10,SJ,31.1794013977051,42.9950332641602,-14.9772920608521,25,15,1.22792906172703,0.110577884423115,3.49929850055998,5.20203529528858,OFC,0.76240360190009,0.238152369526095
