subj,chan,task,X,Y,Z,dof,responseTr,Loc_Tval,Loc_Pval,RT,varRT,JPAnatomy,Tval,Pval
S15,RAIH1,SE,3.57733464241028,48.3622817993164,-17.1966972351074,25,9,2.31567101178777,0.00999800039992002,3.16715108716,1.30288244145397,MPFC,0.532591407135475,0.280810504565754
S15,RAIH1,SJ,3.57733464241028,48.3622817993164,-17.1966972351074,25,15,1.38242703897344,0.0859828034393121,3.49929850055998,5.20203529528858,MPFC,0.442353284972602,0.163833899886689
S15,RAIH2,EP,5.43575239181519,52.4418449401855,-14.6086292266846,25,7,2.41169728290518,0.0121975604879024,3.32126130451999,1.03754474518316,MPFC,0.965454652313464,0.205408918216357
S15,RAIH2,MTH,5.43575239181519,52.4418449401855,-14.6086292266846,40,20,NaN,NaN,5.2898640454,3.03317107021302,MPFC,0.461544253683932,0.278277677797774
S15,RAIH2,OTH,5.43575239181519,52.4418449401855,-14.6086292266846,25,16,1.22162311000503,0.112177564487103,3.74001918908003,2.42959191899469,MPFC,2.84565377245003,0.0296440711857628
S15,RAIH2,SE,5.43575239181519,52.4418449401855,-14.6086292266846,25,9,1.57102508831634,0.0621875624875025,3.16715108716,1.30288244145397,MPFC,-0.0591627424838534,0.187029260814504
S15,RAIH2,SJ,5.43575239181519,52.4418449401855,-14.6086292266846,25,15,1.95853400357252,0.0297940411917616,3.49929850055998,5.20203529528858,MPFC,0.569849092034708,0.310804505765514
S15,RAIH3,EP,10.0326442718506,51.3977966308594,-7.83959007263184,25,7,-1.25105754071747,0.112177564487103,3.32126130451999,1.03754474518316,MPFC,0.419822661361485,0.291841631673665
S15,RAIH3,MTH,10.0326442718506,51.3977966308594,-7.83959007263184,40,20,NaN,NaN,5.2898640454,3.03317107021302,MPFC,0.538998029136064,0.31380390588549
S15,RAIH3,OTH,10.0326442718506,51.3977966308594,-7.83959007263184,25,16,-0.116518717362318,0.454109178164367,3.74001918908003,2.42959191899469,MPFC,1.39499648736862,0.116676664667067
S15,RAIH3,SE,10.0326442718506,51.3977966308594,-7.83959007263184,25,9,-1.00500799076327,0.154369126174765,3.16715108716,1.30288244145397,MPFC,-1.02235760792367,0.183163367326535
S15,RAIH3,SJ,10.0326442718506,51.3977966308594,-7.83959007263184,25,15,-0.17843906783448,0.435912817436513,3.49929850055998,5.20203529528858,MPFC,-0.421677747612106,0.161567686462707
S15,RAIH4,EP,9.10298347473145,53.6539688110352,-5.06336688995361,25,7,-1.34129453163892,0.0885822835432913,3.32126130451999,1.03754474518316,MPFC,0.19868525120452,0.217406518696261
S15,RAIH4,MTH,9.10298347473145,53.6539688110352,-5.06336688995361,40,20,NaN,NaN,5.2898640454,3.03317107021302,MPFC,0.685408891656073,0.242751449710058
S15,RAIH4,OTH,9.10298347473145,53.6539688110352,-5.06336688995361,25,16,-0.200130901320562,0.429314137172566,3.74001918908003,2.42959191899469,MPFC,0.637222988152313,0.253399320135973
S15,RAIH4,SE,9.10298347473145,53.6539688110352,-5.06336688995361,25,9,-1.89159714758933,0.0235952809438112,3.16715108716,1.30288244145397,MPFC,-0.0607335015150807,0.192628141038459
S15,RAIH4,SJ,9.10298347473145,53.6539688110352,-5.06336688995361,25,15,-0.130910001777039,0.476104779044191,3.49929850055998,5.20203529528858,MPFC,-0.0398696900908821,0.38119042858095
S15,RFG10,EP,31.1794013977051,42.9950332641602,-14.9772920608521,25,7,3.4220726013667,0.000399920015996801,3.32126130451999,1.03754474518316,OFC,0.165621364164782,0.152319536092781
S15,RFG10,MTH,31.1794013977051,42.9950332641602,-14.9772920608521,40,20,NaN,NaN,5.2898640454,3.03317107021302,OFC,0.0516382319176374,0.211024461774312
S15,RFG10,OTH,31.1794013977051,42.9950332641602,-14.9772920608521,25,16,1.43419039198925,0.0781843631273745,3.74001918908003,2.42959191899469,OFC,-0.456586693171712,0.270095980803839
S15,RFG10,SE,31.1794013977051,42.9950332641602,-14.9772920608521,25,9,3.40464021731666,0.000799840031993601,3.16715108716,1.30288244145397,OFC,0.941745624270914,0.24128507631807
S15,RFG10,SJ,31.1794013977051,42.9950332641602,-14.9772920608521,25,15,1.66698673188934,0.0453909218156369,3.49929850055998,5.20203529528858,OFC,-0.00767383826181722,0.282010264613744
S15,RFG11,EP,44.4549102783203,45.260124206543,-15.0813865661621,25,7,1.49315690123933,0.0713857228554289,3.32126130451999,1.03754474518316,OFC,0.569471552851896,0.212207558488302
S15,RFG11,MTH,44.4549102783203,45.260124206543,-15.0813865661621,40,20,NaN,NaN,5.2898640454,3.03317107021302,OFC,-0.0801695862724302,0.327867759781377
S15,RFG11,OTH,44.4549102783203,45.260124206543,-15.0813865661621,25,16,0.649953240765806,0.256548690261948,3.74001918908003,2.42959191899469,OFC,0.667195701348534,0.109578084383123
S15,RFG11,SE,44.4549102783203,45.260124206543,-15.0813865661621,25,9,0.43115058339065,0.322335532893421,3.16715108716,1.30288244145397,OFC,-0.506781494710733,0.22995400919816
S15,RFG11,SJ,44.4549102783203,45.260124206543,-15.0813865661621,25,15,1.25111017775681,0.113377324535093,3.49929850055998,5.20203529528858,OFC,-0.0551541421104016,0.315403585949477
S15,RFG12,EP,45.5398864746094,42.4585876464844,-15.7102527618408,25,7,0.554479655433807,0.301539692061588,3.32126130451999,1.03754474518316,OFC,-0.32776433436283,0.326734653069386
S15,RFG12,MTH,45.5398864746094,42.4585876464844,-15.7102527618408,40,20,NaN,NaN,5.2898640454,3.03317107021302,OFC,-1.36405440606668,0.0660534559754716
S15,RFG12,OTH,45.5398864746094,42.4585876464844,-15.7102527618408,25,16,-0.176619359271264,0.428114377124575,3.74001918908003,2.42959191899469,OFC,-0.330360044662549,0.225554889022196
S15,RFG12,SE,45.5398864746094,42.4585876464844,-15.7102527618408,25,9,-1.61026617609924,0.0567886422715457,3.16715108716,1.30288244145397,OFC,-0.508606307177415,0.265213623941878
S15,RFG12,SJ,45.5398864746094,42.4585876464844,-15.7102527618408,25,15,-0.16896415551139,0.439512097580484,3.49929850055998,5.20203529528858,OFC,-0.0748947006287257,0.12370859161501
S15,RFG13,EP,12.0231580734253,47.4379272460938,-26.7554512023926,25,7,3.43407110223742,0.000799840031993601,3.32126130451999,1.03754474518316,OFC,0.92901532030161,0.215156968606279
S15,RFG13,MTH,12.0231580734253,47.4379272460938,-26.7554512023926,40,20,NaN,NaN,5.2898640454,3.03317107021302,OFC,-1.64590241964511,0.147170565886823
S15,RFG13,OTH,12.0231580734253,47.4379272460938,-26.7554512023926,25,16,0.449342359289789,0.328334333133373,3.74001918908003,2.42959191899469,OFC,-0.319953960305313,0.211507698460308
S15,RFG13,SE,12.0231580734253,47.4379272460938,-26.7554512023926,25,9,1.29540267815802,0.113977204559088,3.16715108716,1.30288244145397,OFC,0.521974932530283,0.331733653269346
S15,RFG13,SJ,12.0231580734253,47.4379272460938,-26.7554512023926,25,15,3.01430416428097,0.0023995200959808,3.49929850055998,5.20203529528858,OFC,-0.338164401314218,0.2624808371659
S15,RFG14,EP,17.4467258453369,46.2786102294922,-23.284423828125,25,7,4.7049023707151,0.0001999600079984,3.32126130451999,1.03754474518316,OFC,0.902586187981132,0.161667666466707
S15,RFG14,MTH,17.4467258453369,46.2786102294922,-23.284423828125,40,20,NaN,NaN,5.2898640454,3.03317107021302,OFC,-1.32765774379157,0.151902952742785
S15,RFG14,OTH,17.4467258453369,46.2786102294922,-23.284423828125,25,16,3.00204331687425,0.0013997200559888,3.74001918908003,2.42959191899469,OFC,0.0534493453860831,0.255698860227954
S15,RFG14,SE,17.4467258453369,46.2786102294922,-23.284423828125,25,9,2.47841642031773,0.00919816036792642,3.16715108716,1.30288244145397,OFC,0.878041092557247,0.220089315470239
S15,RFG14,SJ,17.4467258453369,46.2786102294922,-23.284423828125,25,15,3.70226308980063,0.000399920015996801,3.49929850055998,5.20203529528858,OFC,-0.384804805329294,0.347663800573219
S15,RFG15,EP,23.1310119628906,48.0142936706543,-14.1155881881714,25,7,1.87454882463719,0.0369926014797041,3.32126130451999,1.03754474518316,OFC,-0.712960829431534,0.229054189162168
S15,RFG15,MTH,23.1310119628906,48.0142936706543,-14.1155881881714,40,20,NaN,NaN,5.2898640454,3.03317107021302,OFC,-0.427800354151046,0.24375124975005
S15,RFG15,OTH,23.1310119628906,48.0142936706543,-14.1155881881714,25,16,1.44959607683868,0.0767846430713857,3.74001918908003,2.42959191899469,OFC,0.246330201998217,0.230353929214157
S15,RFG15,SE,23.1310119628906,48.0142936706543,-14.1155881881714,25,9,-0.518483572223427,0.300939812037592,3.16715108716,1.30288244145397,OFC,0.598226748712427,0.129240818502966
S15,RFG15,SJ,23.1310119628906,48.0142936706543,-14.1155881881714,25,15,2.06091976973706,0.0233953209358128,3.49929850055998,5.20203529528858,OFC,-0.413953556674451,0.359128174365127
